study_hours,sleep_hours,exercise,screen_time,consistency,procrastination,goal_clarity,target
1.65,6.63,0,5.84,3,1,1,Negative
3.96,6.31,0,1.39,5,4,5,Average
3.02,6.66,1,0.5,4,10,2,Negative
4.67,7.43,1,2.71,5,10,7,Average
5.5,8.13,1,6.05,4,4,8,High
4.32,5.92,1,3.2,9,4,3,High
4.86,5.62,0,4.9,5,9,8,Average
5.07,5.39,1,0.5,6,8,2,Average
2.36,7.29,1,5.93,1,7,5,Negative
3.26,5.17,1,1.43,1,6,4,Negative
10.0,7.88,0,6.57,5,5,5,High
5.1,4.87,1,6.07,7,4,4,Average
2.03,6.36,0,6.12,7,4,1,Average
2.15,7.44,0,8.4,7,6,2,Negative
5.6,6.67,0,6.22,4,10,7,Average
1.76,6.2,0,4.75,9,4,10,High
3.89,8.88,0,1.68,1,7,1,Negative
3.01,6.97,0,4.38,2,6,7,Average
3.54,6.05,0,4.85,4,6,3,Negative
3.28,6.04,1,8.15,5,7,5,Negative
1.55,6.65,1,7.29,9,5,9,High
6.58,7.65,0,5.48,9,5,6,High
3.28,5.72,0,7.43,3,5,7,Average
2.17,7.11,0,7.91,6,7,10,Average
4.7,5.19,1,4.87,10,10,2,Average
7.43,8.36,0,6.44,3,6,2,Average
8.48,7.01,1,0.5,1,8,4,Average
7.05,6.75,0,5.53,9,1,2,High
6.63,8.05,1,3.76,3,2,8,High
6.87,7.51,0,9.03,4,8,8,Average
3.72,5.46,0,7.11,9,2,3,Average
2.36,7.51,0,6.58,4,4,3,Negative
0.69,8.93,0,6.81,4,9,1,Negative
2.32,5.79,1,6.28,8,3,10,High
1.63,7.27,1,1.62,2,2,2,Average
4.9,5.36,1,3.34,10,2,6,High
3.89,6.26,0,0.75,2,2,7,High
7.42,7.23,1,6.13,10,4,3,High
5.15,5.6,1,8.6,6,1,1,Average
3.53,8.09,1,4.06,7,8,3,Average
5.37,6.86,0,7.97,6,3,6,High
3.14,7.0,1,4.77,6,7,7,Average
4.22,9.0,0,3.44,9,3,3,High
4.4,5.06,1,8.18,3,7,3,Negative
7.54,6.24,0,5.18,5,7,7,Average
3.13,8.4,0,0.76,5,6,9,High
6.21,7.1,1,2.1,9,1,2,High
7.46,7.04,1,3.75,6,10,1,Average
3.58,4.57,0,8.2,4,10,8,Negative
1.94,6.72,1,1.03,6,3,1,Average
8.35,7.46,0,5.9,7,4,8,High
3.06,5.96,1,5.66,9,4,3,Average
5.53,6.23,0,7.53,2,2,4,Average
